canton,Mit Stockwerk,Ohne Stockwerk,Total,% Mit Stockwerk
BS,30463,1784,32247,94.5
TI,183270,13565,196835,93.1
BL,97561,31833,129394,75.4
GE,62044,25477,87521,70.9
ZH,263748,135368,399116,66.1
SO,75717,40938,116655,64.9
VS,134819,74669,209488,64.4
GR,84582,47551,132133,64.0
ZG,18620,11685,30305,61.4
TG,75746,48028,123774,61.2
SZ,37796,24351,62147,60.8
VD,153258,98675,251933,60.8
SH,21230,14222,35452,59.9
AR,17589,11892,29481,59.7
AG,169884,117336,287220,59.1
GL,16566,11940,28506,58.1
NW,9525,6858,16383,58.1
AI,6018,4377,10395,57.9
SG,125879,97881,223760,56.3
OW,11886,9669,21555,55.1
BE,259565,217125,476690,54.5
LU,79115,66622,145737,54.3
NE,33972,30304,64276,52.9
JU,27784,25147,52931,52.5
FR,82150,79572,161722,50.8
UR,11338,12337,23675,47.9
