canton,Mit Fläche und Volumen,Ohne Fläche und Volumen,Total,% Mit Fläche und Volumen
BS,29626,2621,32247,91.9
NW,5395,10988,16383,32.9
OW,5553,16002,21555,25.8
VD,53423,198510,251933,21.2
ZH,74105,325011,399116,18.6
TG,8457,115317,123774,6.8
SO,7773,108882,116655,6.7
VS,13135,196353,209488,6.3
SH,2098,33354,35452,5.9
FR,9182,152540,161722,5.7
GL,1618,26888,28506,5.7
GR,6958,125175,132133,5.3
SZ,3187,58960,62147,5.1
JU,2562,50369,52931,4.8
AG,13101,274119,287220,4.6
UR,981,22694,23675,4.1
ZG,1043,29262,30305,3.4
LU,5007,140730,145737,3.4
SG,7664,216096,223760,3.4
BE,14648,462042,476690,3.1
NE,1942,62334,64276,3.0
AR,866,28615,29481,2.9
AI,288,10107,10395,2.8
TI,5329,191506,196835,2.7
BL,2566,126828,129394,2.0
GE,0,87521,87521,0.0
