Kanton,% EGID,% Gebäudetyp,% Stockwerk,% Volumen
AG,76.3,100.0,70.5,62.6
AI,51.9,100.0,44.3,43.5
AR,51.3,100.0,47.9,42.9
BE,88.9,100.0,79.6,73.2
BL,98.4,100.0,90.5,67.7
BS,99.6,100.0,47.7,0.0
FR,61.8,100.0,53.7,46.4
GE,100.0,100.0,65.7,0.0
GL,93.1,100.0,87.3,72.7
GR,60.9,100.0,57.4,53.3
SG,59.1,100.0,52.3,48.0
SH,0.0,100.0,0.0,0.0
SO,48.0,100.0,43.4,41.3
SZ,82.4,100.0,76.7,70.7
TG,26.1,100.0,23.2,13.2
TI,70.8,100.0,66.2,50.5
UR,37.8,100.0,31.3,28.9
VS,0.0,100.0,0.0,0.0
ZG,57.5,100.0,53.9,42.3
ZH,68.4,100.0,58.5,54.7
