Kanton,Mit Fläche und Volumen,Ohne Fläche und Volumen,Total,% Mit Fläche und Volumen
ZH,3601,2982,6583,54.7
GE,0,5798,5798,0.0
AG,3592,2144,5736,62.6
SG,2253,2442,4695,48.0
FR,2051,2366,4417,46.4
BE,3008,1100,4108,73.2
TI,1353,1328,2681,50.5
TG,328,2163,2491,13.2
GR,1251,1097,2348,53.3
BL,1038,495,1533,67.7
SZ,976,405,1381,70.7
SO,422,600,1022,41.3
ZG,329,448,777,42.3
SH,0,656,656,0.0
VS,0,519,519,0.0
AR,216,287,503,42.9
AI,150,195,345,43.5
UR,72,177,249,28.9
GL,178,67,245,72.7
BS,0,235,235,0.0
